运单号,订单号,配送顺序,串点,子客户编码,子客户名称,配送地址,地址行政区,"客户时间窗最早（周内）
","客户时间窗最晚（周内）
",段落里程(km),段落行驶时间(min),段落速度（KM/h）,体积(m³),到达客户时间,离开客户时间,车型,运费,交货方式,预计卸货时间（MIN),是否限高,额外停留时间（min),指定单车配送,断点配送
123,"OM24021900001615
OM24021900001616",1,-,Z068682,重庆三峰城市环境服务有限公司,重庆市重庆市大渡口区大渡口区思源路32号4栋,大渡口区,6:00:00,6:20:00,36.54,33,1.1,0.4602,6:00,6:20,,,点货,10,是,15,是,是
123,OM24021900001616,2,-,107500,中信银行股份有限公司重庆大渡口支行,重庆市重庆市大渡口区中信银行大渡口支行大渡口松青路1029号,大渡口区,6:00:00,6:30:00,2.52,10,0.3,0.1947,6:00,6:30,,,信任,15,否,15,是,是
123,OM24021900004053,3,-,Z015310,重庆市大渡口区人民政府跃进村街道办事处,重庆市重庆市大渡口区跃进路跃进村街道办事处,渡口区,6:40:00,7:00:00,3.07,13,0.2,0.2088,6:40,7:00,,,点货,26,是,15,是,是
