number,origin,destination,code,distance,duration,toll
9,"106.470382,29.579333","106.561726,29.599541",0,15984,1380,0
10,"106.470382,29.579333","106.599907,29.648569",0,19844,1620,0
11,"106.470382,29.579333","106.375095,29.641469",0,25650,1740,0
12,"106.470382,29.579333","106.497226,29.619976",0,7889,1200,0
13,"106.470382,29.579333","106.342437,29.518986",0,23782,1800,0
14,"106.470382,29.579333","106.342437,29.518986",0,23782,1800,0
15,"106.470382,29.579333","106.324651,29.635466",0,32982,2220,0
16,"106.470382,29.579333","106.39973,29.641279",0,28755,2160,0
17,"106.470382,29.579333","106.39973,29.641279",0,28755,2160,0
18,"106.470382,29.579333","106.39973,29.641279",0,28755,2160,0
19,"106.470382,29.579333","106.517023,29.508059",0,15261,1860,0
20,"106.470382,29.579333","106.713794,29.5046",0,37141,2340,0
21,"106.470382,29.579333","106.554348,29.564521",0,11184,1560,0
22,"106.470382,29.579333","106.547865,29.589998",0,10387,1560,0
23,"106.470382,29.579333","106.543916,29.595574",0,13435,1260,0
24,"106.470382,29.579333","106.544414,29.595358",0,13364,1260,0
25,"106.470382,29.579333","106.2831,29.666322",0,38333,2640,6
26,"106.470382,29.579333","106.387972,29.270314",0,50790,3720,0
27,"106.470382,29.579333","106.458697,29.540749",0,10110,1140,0
28,"106.470382,29.579333","106.444809,29.526202",0,15041,1320,0
29,"106.470382,29.579333","106.651284,29.536102",0,23822,2100,0
30,"106.470382,29.579333","106.324651,29.635466",0,32982,2220,0
31,"106.470382,29.579333","106.454885,29.546363",0,8664,1020,0
32,"106.470382,29.579333","106.523517,29.537887",0,12190,1620,0
33,"106.470382,29.579333","106.633193,29.410934",0,40980,2880,0
34,"106.470382,29.579333","106.53439,29.611868",0,11414,1140,0
35,"106.470382,29.579333","106.324651,29.635466",0,32982,2220,0
36,"106.470382,29.579333","106.387972,29.270314",0,50790,3720,0
37,"106.470382,29.579333","106.387972,29.270314",0,50790,3720,0
38,"106.470382,29.579333","106.576256,29.557443",0,14069,2280,0
39,"106.470382,29.579333","106.576256,29.557443",0,14069,2280,0
40,"106.470382,29.579333","106.504022,29.541437",0,8888,1260,0
41,"106.470382,29.579333","106.238898,29.586376",0,40877,3180,0
42,"106.470382,29.579333","106.56976,29.481127",0,21068,2280,0
43,"106.470382,29.579333","106.498872,29.597912",0,5053,900,0
44,"106.470382,29.579333","106.548222,29.581026",0,9941,1620,0
45,"106.470382,29.579333","106.45166,29.578868",0,5908,1200,0
46,"106.470382,29.579333","106.341215,29.607477",0,24553,2040,0
47,"106.470382,29.579333","106.320257,29.548801",0,27036,3120,0
48,"106.470382,29.579333","106.46117,29.569651",0,5703,900,0
49,"106.470382,29.579333","106.555505,29.571809",0,11354,1740,0
50,"106.470382,29.579333","106.555505,29.571809",0,11354,1740,0
51,"106.470382,29.579333","105.716098,29.700127",0,93122,5460,60
52,"106.470382,29.579333","106.523304,29.599892",0,8338,1320,0
53,"106.470382,29.579333","106.658675,29.698841",0,30034,3300,0
54,"106.470382,29.579333","106.462866,29.58494",0,4659,660,0
55,"106.470382,29.579333","106.577054,29.641633",0,18602,1680,0
56,"106.470382,29.579333","106.538349,29.654665",0,16734,1740,0
57,"106.470382,29.579333","105.807366,29.527033",0,90336,5040,65
58,"106.470382,29.579333","106.568891,29.47107",0,22948,2520,0
59,"106.470382,29.579333","106.560221,29.571241",0,11811,1860,0
