number,origin,destination,code,distance,duration,toll
9,"106.578811,29.583062","106.396359,29.246407",0,67592,6180,0
10,"106.578811,29.583062","106.519062,29.606843",0,13800,1560,0
11,"106.578811,29.583062","106.454114,29.542762",0,21576,2640,0
12,"106.578811,29.583062","106.338853,29.603472",0,44753,3540,0
13,"106.578811,29.583062","106.564655,29.639156",0,14908,1740,0
14,"106.578811,29.583062","106.440827,29.677463",0,29095,2820,0
15,"106.578811,29.583062","106.381747,29.407871",0,53173,4860,0
16,"106.578811,29.583062","106.535406,29.58118",0,10992,1980,0
17,"106.578811,29.583062","106.330443,29.605097",0,45137,3660,0
18,"106.578811,29.583062","106.469852,29.567755",0,18235,2100,0
19,"106.578811,29.583062","106.605248,29.715429",0,30804,2760,0
20,"106.578811,29.583062","106.613147,29.712397",0,32605,3000,0
21,"106.578811,29.583062","106.644376,29.479177",0,22928,2040,0
22,"106.578811,29.583062","106.396359,29.246407",0,67592,6180,0
23,"106.578811,29.583062","106.454312,29.585594",0,19818,2340,0
24,"106.578811,29.583062","106.573013,29.527648",0,14627,1560,0
25,"106.578811,29.583062","106.617365,29.724688",0,32526,3000,0
26,"106.578811,29.583062","106.653274,29.518215",0,17435,1440,0
27,"106.578811,29.583062","106.575354,29.558923",0,11595,1740,0
28,"106.578811,29.583062","106.546076,29.742892",0,30139,2640,0
29,"106.578811,29.583062","105.809037,29.394878",0,126803,9960,0
30,"106.578811,29.583062","106.557964,29.718163",0,26077,2280,0
31,"106.578811,29.583062","106.335525,29.306186",0,56504,5220,0
32,"106.578811,29.583062","106.526012,29.571562",0,17560,1800,0
33,"106.578811,29.583062","106.550159,29.609917",0,12623,1440,0
34,"106.578811,29.583062","106.550159,29.609917",0,12623,1440,0
35,"106.578811,29.583062","106.534572,29.627245",0,14300,1440,0
36,"106.578811,29.583062","106.534572,29.627245",0,14300,1440,0
37,"106.578811,29.583062","106.521073,29.540617",0,17725,2340,0
38,"106.578811,29.583062","106.494806,29.649728",0,19659,1860,0
39,"106.578811,29.583062","106.30965,29.608528",0,45176,3720,0
40,"106.578811,29.583062","106.532812,29.590116",0,9970,1080,0
41,"106.578811,29.583062","106.328098,29.605942",0,46235,3660,0
42,"106.578811,29.583062","106.375095,29.641469",0,36111,3240,0
43,"106.578811,29.583062","106.455459,29.660458",0,30541,3000,0
44,"106.578811,29.583062","106.342437,29.518986",0,52533,4080,0
45,"106.578811,29.583062","106.540485,29.827536",0,41161,3420,0
46,"106.578811,29.583062","106.555913,29.45729",0,24681,2760,0
47,"106.578811,29.583062","106.342437,29.518986",0,52533,4080,0
48,"106.578811,29.583062","106.387972,29.270314",0,59517,5400,0
49,"106.578811,29.583062","106.54306,29.579964",0,9259,1080,0
50,"106.578811,29.583062","106.342437,29.518986",0,52533,4080,0
51,"106.578811,29.583062","106.575754,29.559868",0,13621,1740,0
52,"106.578811,29.583062","106.501673,29.535626",0,20163,2280,0
53,"106.578811,29.583062","106.684044,29.502553",0,22844,1740,0
54,"106.578811,29.583062","106.324651,29.635466",0,42765,3360,0
