number,origin,destination,code,distance,duration,toll,restriction
79,"106.515487,29.624322","106.324981,29.525253",0,30153,2160,0,1
80,"106.515487,29.624322","106.54485,29.416135",0,34375,2100,0,1
81,"106.515487,29.624322","106.538812,29.657252",0,7439,1140,0,1
82,"106.515487,29.624322","106.538812,29.657252",0,7439,1140,0,1
83,"106.515487,29.624322","106.590121,29.568028",0,16538,1860,0,1
84,"106.515487,29.624322","106.487157,29.628072",0,3796,420,0,1
85,"106.515487,29.624322","106.524603,29.541083",0,16003,1680,0,1
86,"106.515487,29.624322","106.524603,29.541083",0,16003,1680,0,1
87,"106.515487,29.624322","106.539246,29.599319",0,5459,600,0,1
88,"106.515487,29.624322","105.738583,29.70041",0,86583,5100,60,1
89,"106.515487,29.624322","106.496322,29.619746",0,2409,300,0,1
90,"106.515487,29.624322","106.54746,29.415515",0,34684,2220,0,1
91,"106.515487,29.624322","106.505464,29.554275",0,13737,1320,0,1
92,"106.515487,29.624322","106.424981,29.816815",0,33518,2100,0,1
93,"106.515487,29.624322","106.437744,29.834768",0,34951,2460,7,1
94,"106.515487,29.624322","105.70941,29.703558",0,88533,5400,60,1
95,"106.515487,29.624322","106.453589,29.540679",0,14652,1260,0,1
96,"106.515487,29.624322","106.412223,29.811194",0,32143,1920,0,1
97,"106.515487,29.624322","106.556505,29.562989",0,12117,1440,0,1
98,"106.515487,29.624322","106.543865,29.425925",0,34400,2220,0,1
99,"106.515487,29.624322","106.543865,29.425925",0,34400,2220,0,1
0,"106.556809,29.517229","106.384825,29.676384",0,36649,3420,0,1
1,"106.556809,29.517229","106.57485,29.733029",0,39059,3240,0,1
2,"106.556809,29.517229","106.569953,29.481373",0,7487,1080,0,1
3,"106.556809,29.517229","106.515487,29.624322",0,24514,1980,0,1
4,"106.556809,29.517229","106.563185,29.465776",0,10701,1440,0,1
5,"106.556809,29.517229","106.794496,29.687276",0,43533,2700,9,1
6,"106.556809,29.517229","106.56982,29.584005",0,14379,1620,0,1
7,"106.556809,29.517229","106.423114,29.838559",0,45871,3540,0,1
8,"106.556809,29.517229","106.483385,29.629215",0,20365,2460,0,1
9,"106.556809,29.517229","106.411922,29.810434",0,43563,3420,0,1
10,"106.556809,29.517229","106.545594,29.500913",0,9182,1260,0,1
11,"106.556809,29.517229","106.372849,29.634566",0,31794,2880,0,1
12,"106.556809,29.517229","106.537811,29.590335",0,20350,1800,0,1
13,"106.556809,29.517229","106.575366,29.577498",0,13572,1500,0,1
14,"106.556809,29.517229","106.633012,29.717755",0,43640,3840,0,1
15,"106.556809,29.517229","106.549654,29.612006",0,21009,1740,0,1
16,"106.556809,29.517229","106.645588,29.765431",0,47108,3180,0,1
17,"106.556809,29.517229","106.524153,29.385368",0,22751,3240,0,1
18,"106.556809,29.517229","106.532099,29.51222",0,6761,1020,0,1
19,"106.556809,29.517229","106.516043,29.622297",0,19559,2040,0,1
20,"106.556809,29.517229","106.587459,29.543327",0,9501,1200,0,1
21,"106.556809,29.517229","106.820019,29.693393",0,46954,3240,9,1
22,"106.556809,29.517229","106.60369,29.632117",0,39112,3540,0,1
23,"106.556809,29.517229","106.47412,29.76077",0,34831,3300,0,1
24,"106.556809,29.517229","106.307813,29.55804",0,32484,3180,0,1
25,"106.556809,29.517229","106.577512,29.691415",0,35695,3300,0,1
26,"106.556809,29.517229","106.543839,29.473039",0,7523,900,0,1
27,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0,1
28,"106.556809,29.517229","106.549381,29.52491",0,1617,480,0,1
29,"106.556809,29.517229","106.311379,29.681187",0,43690,3720,4,1
30,"106.556809,29.517229","106.50355,29.606218",0,17782,2040,0,1
31,"106.556809,29.517229","106.488323,29.702462",0,28571,2940,0,1
32,"106.556809,29.517229","106.464633,29.556611",0,20509,2220,0,1
33,"106.556809,29.517229","106.487723,29.464073",0,14407,1680,0,1
34,"106.556809,29.517229","106.515357,29.501573",0,7525,1080,0,1
35,"106.556809,29.517229","106.800921,29.652905",0,44664,2940,11,1
36,"106.556809,29.517229","106.340831,29.626253",0,33115,3600,0,1
37,"106.556809,29.517229","106.244431,29.481045",0,37347,2760,27,1
38,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0,1
39,"106.556809,29.517229","106.488323,29.702462",0,28571,2940,0,1
40,"106.556809,29.517229","106.595651,29.423402",0,19499,2460,0,1
41,"106.556809,29.517229","106.767814,29.628511",0,42030,2760,0,1
42,"106.556809,29.517229","106.43982,29.667897",0,31504,3060,0,1
43,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0,1
44,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0,1
45,"106.556809,29.517229","106.549354,29.560878",0,13268,1620,0,1
46,"106.556809,29.517229","106.591757,29.56081",0,13693,1920,0,1
47,"106.556809,29.517229","106.744944,29.609495",0,41956,2640,0,1
48,"106.556809,29.517229","106.508461,29.602091",0,17018,1860,0,1
49,"106.556809,29.517229","106.535587,29.807428",0,44693,3840,0,1
50,"106.556809,29.517229","106.645811,29.48559",0,13393,1260,0,1
51,"106.556809,29.517229","106.772502,29.681089",0,45509,2880,9,1
52,"106.556809,29.517229","106.580104,29.560173",0,12959,1860,0,1
53,"106.556809,29.517229","106.450784,29.46597",0,20318,2100,0,1
54,"106.556809,29.517229","106.51557,29.585954",0,14987,1740,0,1
55,"106.556809,29.517229","106.44339,29.833109",0,47143,4080,0,1
56,"106.556809,29.517229","106.565222,29.664372",0,35860,3300,0,1
57,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0,1
58,"106.556809,29.517229","106.509122,29.615086",0,18112,1920,0,1
59,"106.556809,29.517229","106.508461,29.602091",0,17018,1860,0,1
60,"106.556809,29.517229","106.508461,29.602091",0,17018,1860,0,1
61,"106.556809,29.517229","106.514249,29.582631",0,13941,1440,0,1
62,"106.556809,29.517229","106.508461,29.602091",0,17018,1860,0,1
63,"106.556809,29.517229","106.6134,29.688502",0,31798,2880,0,1
64,"106.556809,29.517229","106.453638,29.650345",0,29140,2880,0,1
65,"106.556809,29.517229","106.626114,29.398649",0,27734,2220,0,1
66,"106.556809,29.517229","106.533997,29.565588",0,11346,1320,0,1
67,"106.556809,29.517229","106.551843,29.650122",0,28616,2640,0,1
68,"106.556809,29.517229","106.581698,29.520627",0,7430,900,0,1
69,"106.556809,29.517229","106.52288,29.550783",0,13678,1800,0,1
70,"106.556809,29.517229","106.512547,29.511351",0,7715,1200,0,1
71,"106.556809,29.517229","106.473207,29.564749",0,15772,1980,0,1
72,"106.556809,29.517229","106.481465,29.771363",0,36386,3540,0,1
73,"106.556809,29.517229","106.481465,29.771363",0,36386,3540,0,1
74,"106.556809,29.517229","106.641637,29.612773",0,38201,2640,0,1
75,"106.556809,29.517229","106.55654,29.562133",0,12809,1680,0,1
76,"106.556809,29.517229","106.57571,29.580888",0,14192,1560,0,1
77,"106.556809,29.517229","106.575313,29.577264",0,13568,1500,0,1
78,"106.556809,29.517229","106.577057,29.578312",0,14618,1620,0,1
79,"106.556809,29.517229","106.324981,29.525253",0,26715,2340,0,1
80,"106.556809,29.517229","106.54485,29.416135",0,15352,2040,0,1
81,"106.556809,29.517229","106.538812,29.657252",0,29666,2940,0,1
82,"106.556809,29.517229","106.538812,29.657252",0,29666,2940,0,1
83,"106.556809,29.517229","106.590121,29.568028",0,14588,1860,0,1
84,"106.556809,29.517229","106.487157,29.628072",0,20376,2400,0,1
85,"106.556809,29.517229","106.524603,29.541083",0,7581,1200,0,1
86,"106.556809,29.517229","106.524603,29.541083",0,7581,1200,0,1
87,"106.556809,29.517229","106.539246,29.599319",0,17602,1920,0,1
88,"106.556809,29.517229","105.738583,29.70041",0,98403,6420,60,1
89,"106.556809,29.517229","106.496322,29.619746",0,19732,2160,0,1
90,"106.556809,29.517229","106.54746,29.415515",0,15661,2100,0,1
91,"106.556809,29.517229","106.505464,29.554275",0,15952,2340,0,1
92,"106.556809,29.517229","106.424981,29.816815",0,44937,3660,0,1
93,"106.556809,29.517229","106.437744,29.834768",0,46370,4080,7,1
94,"106.556809,29.517229","105.70941,29.703558",0,100353,6720,60,1
95,"106.556809,29.517229","106.453589,29.540679",0,15330,1920,0,1
96,"106.556809,29.517229","106.412223,29.811194",0,43562,3420,0,1
97,"106.556809,29.517229","106.556505,29.562989",0,12581,1680,0,1
98,"106.556809,29.517229","106.543865,29.425925",0,14034,1860,0,1
99,"106.556809,29.517229","106.543865,29.425925",0,14034,1860,0,1
0,"106.384825,29.676384","106.556809,29.517229",0,34677,2940,0,1
1,"106.384825,29.676384","106.57485,29.733029",0,27296,2460,0,0
2,"106.384825,29.676384","106.569953,29.481373",0,40326,3780,0,1
3,"106.384825,29.676384","106.515487,29.624322",0,25720,1860,0,1
4,"106.384825,29.676384","106.563185,29.465776",0,45077,3300,0,1
5,"106.384825,29.676384","106.794496,29.687276",0,47710,3600,0,0
6,"106.384825,29.676384","106.56982,29.584005",0,32853,2520,0,1
7,"106.384825,29.676384","106.423114,29.838559",0,22118,1500,0,0
8,"106.384825,29.676384","106.483385,29.629215",0,16005,1380,0,0
9,"106.384825,29.676384","106.411922,29.810434",0,19810,1380,0,1
10,"106.384825,29.676384","106.545594,29.500913",0,35510,3120,0,1
11,"106.384825,29.676384","106.372849,29.634566",0,6586,900,0,0
12,"106.384825,29.676384","106.537811,29.590335",0,26129,2100,0,1
13,"106.384825,29.676384","106.575366,29.577498",0,32046,2460,0,1
14,"106.384825,29.676384","106.633012,29.717755",0,31877,3120,0,1
15,"106.384825,29.676384","106.549654,29.612006",0,25904,2160,0,1
16,"106.384825,29.676384","106.645588,29.765431",0,44707,2700,18,0
17,"106.384825,29.676384","106.524153,29.385368",0,49282,3600,0,1
18,"106.384825,29.676384","106.532099,29.51222",0,33089,2760,0,1
19,"106.384825,29.676384","106.516043,29.622297",0,21574,1620,0,1
20,"106.384825,29.676384","106.587459,29.543327",0,38074,3180,0,1
21,"106.384825,29.676384","106.820019,29.693393",0,52134,3960,0,0
22,"106.384825,29.676384","106.60369,29.632117",0,40303,4020,0,0
23,"106.384825,29.676384","106.47412,29.76077",0,24354,1920,0,0
24,"106.384825,29.676384","106.307813,29.55804",0,22930,1560,7,1
25,"106.384825,29.676384","106.577512,29.691415",0,27571,2520,0,0
26,"106.384825,29.676384","106.543839,29.473039",0,39056,3480,0,1
27,"106.384825,29.676384","106.494448,29.454464",0,37278,2640,0,0
28,"106.384825,29.676384","106.549381,29.52491",0,34034,2940,0,1
29,"106.384825,29.676384","106.311379,29.681187",0,14809,1260,4,0
30,"106.384825,29.676384","106.50355,29.606218",0,21990,1920,0,1
31,"106.384825,29.676384","106.488323,29.702462",0,17171,1380,0,1
32,"106.384825,29.676384","106.464633,29.556611",0,28841,2280,0,1
33,"106.384825,29.676384","106.487723,29.464073",0,36340,2400,0,1
34,"106.384825,29.676384","106.515357,29.501573",0,33853,2820,0,1
35,"106.384825,29.676384","106.800921,29.652905",0,48725,3660,0,0
36,"106.384825,29.676384","106.340831,29.626253",0,10663,900,0,0
37,"106.384825,29.676384","106.244431,29.481045",0,38859,2220,32,0
38,"106.384825,29.676384","106.494448,29.454464",0,37278,2640,0,0
39,"106.384825,29.676384","106.488323,29.702462",0,17171,1380,0,1
40,"106.384825,29.676384","106.595651,29.423402",0,50940,3720,0,1
41,"106.384825,29.676384","106.767814,29.628511",0,48807,3240,0,0
42,"106.384825,29.676384","106.43982,29.667897",0,10567,1020,0,0
43,"106.384825,29.676384","106.478925,29.554136",0,28121,2340,0,1
44,"106.384825,29.676384","106.478925,29.554136",0,28121,2340,0,1
45,"106.384825,29.676384","106.549354,29.560878",0,30178,2640,0,1
46,"106.384825,29.676384","106.591757,29.56081",0,36148,3360,0,1
47,"106.384825,29.676384","106.744944,29.609495",0,48733,3120,0,0
48,"106.384825,29.676384","106.508461,29.602091",0,22714,1860,0,1
49,"106.384825,29.676384","106.535587,29.807428",0,30047,2220,0,0
50,"106.384825,29.676384","106.645811,29.48559",0,46909,3180,0,0
51,"106.384825,29.676384","106.772502,29.681089",0,46003,3480,0,0
52,"106.384825,29.676384","106.580104,29.560173",0,34349,3060,0,1
53,"106.384825,29.676384","106.450784,29.46597",0,33991,2580,0,1
54,"106.384825,29.676384","106.51557,29.585954",0,24682,2220,0,1
55,"106.384825,29.676384","106.44339,29.833109",0,21195,1800,0,1
56,"106.384825,29.676384","106.565222,29.664372",0,27661,2520,0,1
57,"106.384825,29.676384","106.494448,29.454464",0,37278,2640,0,0
58,"106.384825,29.676384","106.509122,29.615086",0,22152,1680,0,1
59,"106.384825,29.676384","106.508461,29.602091",0,22714,1860,0,1
60,"106.384825,29.676384","106.508461,29.602091",0,22714,1860,0,1
61,"106.384825,29.676384","106.514249,29.582631",0,24527,2100,0,1
62,"106.384825,29.676384","106.508461,29.602091",0,22714,1860,0,1
63,"106.384825,29.676384","106.6134,29.688502",0,30580,3300,0,0
64,"106.384825,29.676384","106.453638,29.650345",0,12151,1140,0,0
65,"106.384825,29.676384","106.626114,29.398649",0,53144,3600,0,0
66,"106.384825,29.676384","106.533997,29.565588",0,27532,2160,0,1
67,"106.384825,29.676384","106.551843,29.650122",0,21844,2220,0,1
68,"106.384825,29.676384","106.581698,29.520627",0,41997,2940,0,1
69,"106.384825,29.676384","106.52288,29.550783",0,31095,2640,0,1
70,"106.384825,29.676384","106.512547,29.511351",0,32207,2520,0,1
